Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
3.94484547222965e+06	1.05069096481408e-02,0.00000000000000e+00	3.73127200868065e-04,0.00000000000000e+00	6.50482324000310e-05,0.00000000000000e+00	6.50482324000313e-05,0.00000000000000e+00	1.05069096481425e-02,0.00000000000000e+00
3.95393928022366e+06	1.05816568589695e-02,0.00000000000000e+00	3.80498577984865e-04,0.00000000000000e+00	6.65658926447641e-05,0.00000000000000e+00	6.65658926447685e-05,0.00000000000000e+00	1.05816568589700e-02,0.00000000000000e+00
3.96305405161013e+06	1.06572236175489e-02,0.00000000000000e+00	3.88062210268373e-04,0.00000000000000e+00	6.81264762058267e-05,0.00000000000000e+00	6.81264762058206e-05,0.00000000000000e+00	1.06572236175486e-02,0.00000000000000e+00
3.97218983471468e+06	1.07336183584079e-02,0.00000000000000e+00	3.95824396495396e-04,0.00000000000000e+00	6.97314470480626e-05,0.00000000000000e+00	6.97314470480532e-05,0.00000000000000e+00	1.07336183584080e-02,0.00000000000000e+00
3.98134667797431e+06	1.08108494170869e-02,0.00000000000000e+00	4.03791684215230e-04,0.00000000000000e+00	7.13823283330691e-05,0.00000000000000e+00	7.13823283330631e-05,0.00000000000000e+00	1.08108494170867e-02,0.00000000000000e+00
3.99052462993770e+06	1.08889250142600e-02,0.00000000000000e+00	4.11970881281376e-04,0.00000000000000e+00	7.30807052062699e-05,0.00000000000000e+00	7.30807052062603e-05,0.00000000000000e+00	1.08889250142591e-02,0.00000000000000e+00
3.99972373926542e+06	1.09678532387707e-02,0.00000000000000e+00	4.20369067997090e-04,0.00000000000000e+00	7.48282277336729e-05,0.00000000000000e+00	7.48282277336660e-05,0.00000000000000e+00	1.09678532387715e-02,0.00000000000000e+00
4.00894405473026e+06	1.10476420295584e-02,0.00000000000000e+00	4.28993609920066e-04,0.00000000000000e+00	7.66266139998838e-05,0.00000000000000e+00	7.66266139998794e-05,0.00000000000000e+00	1.10476420295583e-02,0.00000000000000e+00
4.01818562521739e+06	1.11282991563890e-02,0.00000000000000e+00	4.37852171360514e-04,0.00000000000000e+00	7.84776533750770e-05,0.00000000000000e+00	7.84776533750763e-05,0.00000000000000e+00	1.11282991563900e-02,0.00000000000000e+00
4.02744849972471e+06	1.12098321993566e-02,0.00000000000000e+00	4.46952729618919e-04,0.00000000000000e+00	8.03832099632236e-05,0.00000000000000e+00	8.03832099632296e-05,0.00000000000000e+00	1.12098321993563e-02,0.00000000000000e+00
4.03673272736306e+06	1.12922485270463e-02,0.00000000000000e+00	4.56303590010316e-04,0.00000000000000e+00	8.23452262419343e-05,0.00000000000000e+00	8.23452262419421e-05,0.00000000000000e+00	1.12922485270462e-02,0.00000000000000e+00
4.04603835735648e+06	1.13755552733428e-02,0.00000000000000e+00	4.65913401723215e-04,0.00000000000000e+00	8.43657269066500e-05,0.00000000000000e+00	8.43657269066462e-05,0.00000000000000e+00	1.13755552733427e-02,0.00000000000000e+00
4.05536543904250e+06	1.14597593127917e-02,0.00000000000000e+00	4.75791174568373e-04,0.00000000000000e+00	8.64468229327582e-05,0.00000000000000e+00	8.64468229327669e-05,0.00000000000000e+00	1.14597593127918e-02,0.00000000000000e+00
4.06471402187238e+06	1.15448672344208e-02,0.00000000000000e+00	4.85946296671391e-04,0.00000000000000e+00	8.85907158679337e-05,0.00000000000000e+00	8.85907158679364e-05,0.00000000000000e+00	1.15448672344213e-02,0.00000000000000e+00
4.07408415541137e+06	1.16308853139968e-02,0.00000000000000e+00	4.96388553176844e-04,0.00000000000000e+00	9.07997023721791e-05,0.00000000000000e+00	9.07997023721887e-05,0.00000000000000e+00	1.16308853139970e-02,0.00000000000000e+00
4.08347588933899e+06	1.17178194845854e-02,0.00000000000000e+00	5.07128146022644e-04,0.00000000000000e+00	9.30761790200722e-05,0.00000000000000e+00	9.30761790200620e-05,0.00000000000000e+00	1.17178194845856e-02,0.00000000000000e+00
4.09288927344928e+06	1.18056753053951e-02,0.00000000000000e+00	5.18175714859696e-04,0.00000000000000e+00	9.54226473829910e-05,0.00000000000000e+00	9.54226473829846e-05,0.00000000000000e+00	1.18056753053949e-02,0.00000000000000e+00
4.10232435765106e+06	1.18944579287612e-02,0.00000000000000e+00	5.29542359192910e-04,0.00000000000000e+00	9.78417194106019e-05,0.00000000000000e+00	9.78417194105982e-05,0.00000000000000e+00	1.18944579287608e-02,0.00000000000000e+00
