Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.91762852055067e+06	1.81756118704240e-02,0.00000000000000e+00	7.57012197259968e-05,0.00000000000000e+00	7.57012197259968e-05,0.00000000000000e+00	1.81756118704246e-02,0.00000000000000e+00
2.92435434891341e+06	1.81683391993848e-02,0.00000000000000e+00	7.58150218958119e-05,0.00000000000000e+00	7.58150218958120e-05,0.00000000000000e+00	1.81683391993852e-02,0.00000000000000e+00
2.93109568191180e+06	1.81610417460159e-02,0.00000000000000e+00	7.59287635804730e-05,0.00000000000000e+00	7.59287635804730e-05,0.00000000000000e+00	1.81610417460148e-02,0.00000000000000e+00
2.93785255528771e+06	1.81537194594143e-02,0.00000000000000e+00	7.60424432986407e-05,0.00000000000000e+00	7.60424432986407e-05,0.00000000000000e+00	1.81537194594143e-02,0.00000000000000e+00
2.94462500486541e+06	1.81463722888438e-02,0.00000000000000e+00	7.61560595635458e-05,0.00000000000000e+00	7.61560595635458e-05,0.00000000000000e+00	1.81463722888428e-02,0.00000000000000e+00
2.95141306655176e+06	1.81390001837239e-02,0.00000000000000e+00	7.62696108830229e-05,0.00000000000000e+00	7.62696108830229e-05,0.00000000000000e+00	1.81390001837234e-02,0.00000000000000e+00
2.95821677633639e+06	1.81316030936308e-02,0.00000000000000e+00	7.63830957594704e-05,0.00000000000000e+00	7.63830957594704e-05,0.00000000000000e+00	1.81316030936310e-02,0.00000000000000e+00
2.96503617029188e+06	1.81241809683103e-02,0.00000000000000e+00	7.64965126899379e-05,0.00000000000000e+00	7.64965126899379e-05,0.00000000000000e+00	1.81241809683101e-02,0.00000000000000e+00
2.97187128457399e+06	1.81167337576654e-02,0.00000000000000e+00	7.66098601660954e-05,0.00000000000000e+00	7.66098601660954e-05,0.00000000000000e+00	1.81167337576651e-02,0.00000000000000e+00
2.97872215542180e+06	1.81092614117702e-02,0.00000000000000e+00	7.67231366742888e-05,0.00000000000000e+00	7.67231366742888e-05,0.00000000000000e+00	1.81092614117705e-02,0.00000000000000e+00
2.98558881915796e+06	1.81017638808735e-02,0.00000000000000e+00	7.68363406955631e-05,0.00000000000000e+00	7.68363406955631e-05,0.00000000000000e+00	1.81017638808733e-02,0.00000000000000e+00
2.99247131218884e+06	1.80942411153893e-02,0.00000000000000e+00	7.69494707056606e-05,0.00000000000000e+00	7.69494707056606e-05,0.00000000000000e+00	1.80942411153897e-02,0.00000000000000e+00
2.99936967100472e+06	1.80866930659081e-02,0.00000000000000e+00	7.70625251750490e-05,0.00000000000000e+00	7.70625251750490e-05,0.00000000000000e+00	1.80866930659085e-02,0.00000000000000e+00
3.00628393218002e+06	1.80791196831992e-02,0.00000000000000e+00	7.71755025689701e-05,0.00000000000000e+00	7.71755025689701e-05,0.00000000000000e+00	1.80791196831992e-02,0.00000000000000e+00
3.01321413237346e+06	1.80715209182152e-02,0.00000000000000e+00	7.72884013474593e-05,0.00000000000000e+00	7.72884013474593e-05,0.00000000000000e+00	1.80715209182139e-02,0.00000000000000e+00
3.02016030832827e+06	1.80638967220764e-02,0.00000000000000e+00	7.74012199653153e-05,0.00000000000000e+00	7.74012199653153e-05,0.00000000000000e+00	1.80638967220759e-02,0.00000000000000e+00
3.02712249687239e+06	1.80562470461092e-02,0.00000000000000e+00	7.75139568722354e-05,0.00000000000000e+00	7.75139568722354e-05,0.00000000000000e+00	1.80562470461089e-02,0.00000000000000e+00
3.03410073491864e+06	1.80485718418078e-02,0.00000000000000e+00	7.76266105127055e-05,0.00000000000000e+00	7.76266105127055e-05,0.00000000000000e+00	1.80485718418071e-02,0.00000000000000e+00
3.04109505946496e+06	1.80408710608666e-02,0.00000000000000e+00	7.77391793261521e-05,0.00000000000000e+00	7.77391793261521e-05,0.00000000000000e+00	1.80408710608671e-02,0.00000000000000e+00
