Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RCoil3))	mag(I(RLoad))	mag(I(RSource))
3.30392359645799e+06	8.27391509056349e-03,0.00000000000000e+00	1.73558289695752e-04,0.00000000000000e+00	2.39771535347800e-05,0.00000000000000e+00	2.39771535347800e-05,0.00000000000000e+00	8.27391509056301e-03,0.00000000000000e+00
3.31153992693902e+06	8.25813938585797e-03,0.00000000000000e+00	1.73239281146320e-04,0.00000000000000e+00	2.39765221956816e-05,0.00000000000000e+00	2.39765221956816e-05,0.00000000000000e+00	8.25813938585798e-03,0.00000000000000e+00
3.31917381487508e+06	8.24238138116571e-03,0.00000000000000e+00	1.72920632371129e-04,0.00000000000000e+00	2.39758168643541e-05,0.00000000000000e+00	2.39758168643541e-05,0.00000000000000e+00	8.24238138116658e-03,0.00000000000000e+00
3.32682530074030e+06	8.22664112744337e-03,0.00000000000000e+00	1.72602344340041e-04,0.00000000000000e+00	2.39750375454321e-05,0.00000000000000e+00	2.39750375454321e-05,0.00000000000000e+00	8.22664112744234e-03,0.00000000000000e+00
3.33449442510209e+06	8.21091867521116e-03,0.00000000000000e+00	1.72284418013936e-04,0.00000000000000e+00	2.39741842440502e-05,0.00000000000000e+00	2.39741842440502e-05,0.00000000000000e+00	8.21091867521147e-03,0.00000000000000e+00
3.34218122862138e+06	8.19521407456639e-03,0.00000000000000e+00	1.71966854344564e-04,0.00000000000000e+00	2.39732569658221e-05,0.00000000000000e+00	2.39732569658221e-05,0.00000000000000e+00	8.19521407456629e-03,0.00000000000000e+00
3.34988575205283e+06	8.17952737516902e-03,0.00000000000000e+00	1.71649654274624e-04,0.00000000000000e+00	2.39722557168477e-05,0.00000000000000e+00	2.39722557168477e-05,0.00000000000000e+00	8.17952737516850e-03,0.00000000000000e+00
3.35760803624508e+06	8.16385862625000e-03,0.00000000000000e+00	1.71332818737776e-04,0.00000000000000e+00	2.39711805037139e-05,0.00000000000000e+00	2.39711805037139e-05,0.00000000000000e+00	8.16385862624991e-03,0.00000000000000e+00
3.36534812214089e+06	8.14820787661878e-03,0.00000000000000e+00	1.71016348658763e-04,0.00000000000000e+00	2.39700313335084e-05,0.00000000000000e+00	2.39700313335084e-05,0.00000000000000e+00	8.14820787661810e-03,0.00000000000000e+00
3.37310605077744e+06	8.13257517465035e-03,0.00000000000000e+00	1.70700244953274e-04,0.00000000000000e+00	2.39688082137997e-05,0.00000000000000e+00	2.39688082137997e-05,0.00000000000000e+00	8.13257517464998e-03,0.00000000000000e+00
