Freq.	mag(I(RCoil1))	mag(I(RCoil2))	mag(I(RLoad))	mag(I(RSource))
2.16785382804240e+06	1.13063060297618e-02,0.00000000000000e+00	2.17651051632634e-05,0.00000000000000e+00	2.17651051632631e-05,0.00000000000000e+00	1.13063060297600e-02,0.00000000000000e+00
2.17285124723413e+06	1.13323052409907e-02,0.00000000000000e+00	2.19157240981856e-05,0.00000000000000e+00	2.19157240981843e-05,0.00000000000000e+00	1.13323052409934e-02,0.00000000000000e+00
2.17786018666686e+06	1.13583549090373e-02,0.00000000000000e+00	2.20673490996063e-05,0.00000000000000e+00	2.20673490996087e-05,0.00000000000000e+00	1.13583549090419e-02,0.00000000000000e+00
2.18288067289751e+06	1.13844549804943e-02,0.00000000000000e+00	2.22199861342418e-05,0.00000000000000e+00	2.22199861342432e-05,0.00000000000000e+00	1.13844549804905e-02,0.00000000000000e+00
2.18791273254418e+06	1.14106053994858e-02,0.00000000000000e+00	2.23736411896580e-05,0.00000000000000e+00	2.23736411896619e-05,0.00000000000000e+00	1.14106053994841e-02,0.00000000000000e+00
2.19295639228637e+06	1.14368061076986e-02,0.00000000000000e+00	2.25283202740847e-05,0.00000000000000e+00	2.25283202740899e-05,0.00000000000000e+00	1.14368061077012e-02,0.00000000000000e+00
2.19801167886504e+06	1.14630570443268e-02,0.00000000000000e+00	2.26840294162098e-05,0.00000000000000e+00	2.26840294162115e-05,0.00000000000000e+00	1.14630570443296e-02,0.00000000000000e+00
2.20307861908283e+06	1.14893581460476e-02,0.00000000000000e+00	2.28407746649673e-05,0.00000000000000e+00	2.28407746649685e-05,0.00000000000000e+00	1.14893581460451e-02,0.00000000000000e+00
2.20815723980414e+06	1.15157093469427e-02,0.00000000000000e+00	2.29985620891662e-05,0.00000000000000e+00	2.29985620891693e-05,0.00000000000000e+00	1.15157093469407e-02,0.00000000000000e+00
2.21324756795533e+06	1.15421105785333e-02,0.00000000000000e+00	2.31573977774367e-05,0.00000000000000e+00	2.31573977774406e-05,0.00000000000000e+00	1.15421105785343e-02,0.00000000000000e+00
2.21834963052480e+06	1.15685617697111e-02,0.00000000000000e+00	2.33172878378486e-05,0.00000000000000e+00	2.33172878378432e-05,0.00000000000000e+00	1.15685617697080e-02,0.00000000000000e+00
2.22346345456318e+06	1.15950628466939e-02,0.00000000000000e+00	2.34782383976661e-05,0.00000000000000e+00	2.34782383976649e-05,0.00000000000000e+00	1.15950628466936e-02,0.00000000000000e+00
2.22858906718345e+06	1.16216137330153e-02,0.00000000000000e+00	2.36402556030479e-05,0.00000000000000e+00	2.36402556030477e-05,0.00000000000000e+00	1.16216137330143e-02,0.00000000000000e+00
2.23372649556112e+06	1.16482143494769e-02,0.00000000000000e+00	2.38033456188805e-05,0.00000000000000e+00	2.38033456188808e-05,0.00000000000000e+00	1.16482143494745e-02,0.00000000000000e+00
2.23887576693430e+06	1.16748646141126e-02,0.00000000000000e+00	2.39675146284118e-05,0.00000000000000e+00	2.39675146284086e-05,0.00000000000000e+00	1.16748646141121e-02,0.00000000000000e+00
2.24403690860392e+06	1.17015644421687e-02,0.00000000000000e+00	2.41327688328855e-05,0.00000000000000e+00	2.41327688328943e-05,0.00000000000000e+00	1.17015644421684e-02,0.00000000000000e+00
2.24920994793385e+06	1.17283137460429e-02,0.00000000000000e+00	2.42991144514107e-05,0.00000000000000e+00	2.42991144514073e-05,0.00000000000000e+00	1.17283137460426e-02,0.00000000000000e+00
2.25439491235101e+06	1.17551124352695e-02,0.00000000000000e+00	2.44665577204686e-05,0.00000000000000e+00	2.44665577204733e-05,0.00000000000000e+00	1.17551124352668e-02,0.00000000000000e+00
2.25959182934559e+06	1.17819604164762e-02,0.00000000000000e+00	2.46351048937755e-05,0.00000000000000e+00	2.46351048937703e-05,0.00000000000000e+00	1.17819604164785e-02,0.00000000000000e+00
2.26480072647111e+06	1.18088575933469e-02,0.00000000000000e+00	2.48047622417400e-05,0.00000000000000e+00	2.48047622417429e-05,0.00000000000000e+00	1.18088575933487e-02,0.00000000000000e+00
2.27002163134462e+06	1.18358038665958e-02,0.00000000000000e+00	2.49755360513123e-05,0.00000000000000e+00	2.49755360513033e-05,0.00000000000000e+00	1.18358038665947e-02,0.00000000000000e+00
2.27525457164686e+06	1.18627991338855e-02,0.00000000000000e+00	2.51474326254903e-05,0.00000000000000e+00	2.51474326254900e-05,0.00000000000000e+00	1.18627991338861e-02,0.00000000000000e+00
2.28049957512233e+06	1.18898432898746e-02,0.00000000000000e+00	2.53204582831572e-05,0.00000000000000e+00	2.53204582831592e-05,0.00000000000000e+00	1.18898432898729e-02,0.00000000000000e+00
2.28575666957954e+06	1.19169362260738e-02,0.00000000000000e+00	2.54946193584320e-05,0.00000000000000e+00	2.54946193584300e-05,0.00000000000000e+00	1.19169362260775e-02,0.00000000000000e+00
2.29102588289106e+06	1.19440778309292e-02,0.00000000000000e+00	2.56699222005904e-05,0.00000000000000e+00	2.56699222005897e-05,0.00000000000000e+00	1.19440778309272e-02,0.00000000000000e+00
2.29630724299376e+06	1.19712679896491e-02,0.00000000000000e+00	2.58463731734336e-05,0.00000000000000e+00	2.58463731734320e-05,0.00000000000000e+00	1.19712679896487e-02,0.00000000000000e+00
2.30160077788886e+06	1.19985065842763e-02,0.00000000000000e+00	2.60239786550303e-05,0.00000000000000e+00	2.60239786550358e-05,0.00000000000000e+00	1.19985065842755e-02,0.00000000000000e+00
2.30690651564218e+06	1.20257934936037e-02,0.00000000000000e+00	2.62027450373273e-05,0.00000000000000e+00	2.62027450373296e-05,0.00000000000000e+00	1.20257934936040e-02,0.00000000000000e+00
2.31222448438419e+06	1.20531285931255e-02,0.00000000000000e+00	2.63826787255974e-05,0.00000000000000e+00	2.63826787255975e-05,0.00000000000000e+00	1.20531285931271e-02,0.00000000000000e+00
2.31755471231024e+06	1.20805117550188e-02,0.00000000000000e+00	2.65637861381623e-05,0.00000000000000e+00	2.65637861381646e-05,0.00000000000000e+00	1.20805117550193e-02,0.00000000000000e+00
2.32289722768068e+06	1.21079428480892e-02,0.00000000000000e+00	2.67460737058587e-05,0.00000000000000e+00	2.67460737058497e-05,0.00000000000000e+00	1.21079428480864e-02,0.00000000000000e+00
2.32825205882097e+06	1.21354217377302e-02,0.00000000000000e+00	2.69295478716045e-05,0.00000000000000e+00	2.69295478716043e-05,0.00000000000000e+00	1.21354217377332e-02,0.00000000000000e+00
